"Id","Name","Direction"
"566","s_frame_md_check","client_to_server"
"567","c_item_new","server_to_client"
"568","s_home_role_interact","client_to_server"
"569","c_group_captain_alter","server_to_client"
"570","s_frame_refresh","client_to_server"
"571","s_group_team_info","client_to_server"
"572","s_group_team_kick","client_to_server"
"573","c_act_hero_license_info","server_to_client"
"574","c_base_station_all_info","server_to_client"
"575","c_emergency_result","server_to_client"
"576","c_team_be_invite","server_to_client"
"577","s_league_pvp_view_pvp_records","client_to_server"
"578","s_league_board_mine","client_to_server"
"579","c_friend_quick_deal_with_apply","server_to_client"
"580","s_usj_enter_activity_ui","client_to_server"
"581","c_mail_quickly_get_attach","server_to_client"
"582","c_group_team_apply_done","server_to_client"
"583","s_home_floor_furniture","client_to_server"
"584","c_group_report_data","server_to_client"
"585","s_hero_class_stage","client_to_server"
"586","s_resource_stage_enter","client_to_server"
"587","c_team_need_to_leave","server_to_client"
"588","c_team_change_extra","server_to_client"
"589","c_usj_unlock_zone","server_to_client"
"590","s_share_reward","client_to_server"
"591","s_team_quick_chat","client_to_server"
"592","s_league_get_rank_simple_info","client_to_server"
"593","c_league_pvp_report","server_to_client"
"594","c_avatar_frame_use","server_to_client"
"595","c_fashion_update","server_to_client"
"596","c_league_tech_pre_buy","server_to_client"
"597","c_act_allsvr_stage_update_level","server_to_client"
"598","c_act_rank_reissue","server_to_client"
"599","c_act_lottery_info","server_to_client"
"600","c_fenshen_option","server_to_client"
"601","c_peak_battle_get_task_reward","server_to_client"
"602","s_peak_battle_wonder_play","client_to_server"
"603","s_sugar_room_make_cake","client_to_server"
"604","s_sugar_room_exchange_count","client_to_server"
"605","s_welfare_exchange_money","client_to_server"
"606","s_task_sync_info","client_to_server"
"607","c_zhanling_task_update","server_to_client"
"608","s_home_like","client_to_server"
"609","s_frame_lag_report","client_to_server"
"610","c_act_eye_sight_update","server_to_client"
"611","c_mail_have_new_mail","server_to_client"
"612","c_replay_check","server_to_client"
"613","s_stage_playback","client_to_server"
"614","s_team_auto_acc","client_to_server"
"615","c_secret_area_key","server_to_client"
"616","c_attached_card_compose","server_to_client"
"617","s_rogue_pass_hero","client_to_server"
"618","s_card_go_to_fight","client_to_server"
"619","c_friend_send_strength","server_to_client"
"620","c_friend_update_str","server_to_client"
"621","c_usj_get_stage_record","server_to_client"
"622","c_item_amount","server_to_client"
"623","s_secret_area_task_reward","client_to_server"
"624","c_act_start","server_to_client"
"625","c_chaos_match","server_to_client"
"626","c_rogue_pass_difficult","server_to_client"
"627","c_league_pvp_resource_change","server_to_client"
"628","c_toplist_pages","server_to_client"
"629","c_league_tech_modify_shop_manager_sign","server_to_client"
"630","c_act_pickbox_info","server_to_client"
"631","c_guide_id_done","server_to_client"
"632","s_league_tech_progress_reward","client_to_server"
"633","c_hero_rank_stage_update","server_to_client"
"634","c_lottery_draw","server_to_client"
"635","s_rogue_chg_record_name","client_to_server"
"636","c_rune_rabbet_info","server_to_client"
"637","s_achieve_getreward","client_to_server"
"638","c_new_hero_info","server_to_client"
"639","c_home_role_mood_list","server_to_client"
"640","c_battlefield_pk_quit","server_to_client"
"641","s_usj_stage_restart","client_to_server"
"642","c_task_sync_info","server_to_client"
"643","s_secret_area_finish_stage","client_to_server"
"644","c_act_team_reward","server_to_client"
"645","s_secret_area_drop_card","client_to_server"
"646","s_league_search","client_to_server"
